objectid,filename,title,creator,date,subject,dimensions,location,latitude,longitude,display_template,format,object_location,image_small,image_thumb
jp1,jp1.jpg,Moon over the Kiyomizu-dera Temple after Rain,Benji Asada,,architecture; figures,15.5 x 10.25 in.,Shain Library,34.99487711,135.784661,image,image/jpeg,/objects/jp1.jpg,/objects/small/jp1_sm.jpg,/objects/thumbs/jp1_th.jpg
jp2,jp2.jpg,Fine Day in May,Hosoda Eiichi,,architecture; plants; children,17.25 x 12 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp2.jpg,/objects/small/jp2_sm.jpg,/objects/thumbs/jp2_th.jpg
jp3,jp3.jpg,Mouse And Grapes,Hosoda Eiichi,,animals,9.25 x 6.25 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp3.jpg,/objects/small/jp3_sm.jpg,/objects/thumbs/jp3_th.jpg
jp4,jp4.jpg,High Bridge By Night,Eijiro Kobayashi,1920,water; figures; landscape; boat,9.5 x 7 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp4.jpg,/objects/small/jp4_sm.jpg,/objects/thumbs/jp4_th.jpg
jp5,jp5.jpg,High Bridge By Night (after James Whistler's Old Battersea Bridge),Eijiro Kobayashi,1920,water; figures; boats,9.25 x 6.75 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp5.jpg,/objects/small/jp5_sm.jpg,/objects/thumbs/jp5_th.jpg
jp6,jp6.jpg,Snow At Kiba,Hasui Kawase,1934,landscape; water; boats,14.25 x 9.5 in.,Shain Library,35.67340813,139.8056508,image,image/jpeg,/objects/jp6.jpg,/objects/small/jp6_sm.jpg,/objects/thumbs/jp6_th.jpg
jp7,jp7.jpg,Pagoda at Sunset,Takahashi Hiroaki (Shōtai),,landscape; trees; architecture,4.5 x 3 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp7.jpg,/objects/small/jp7_sm.jpg,/objects/thumbs/jp7_th.jpg
jp8,jp8.jpg,Bush Warbler and Snowy Plum Tree,Takahashi Hiroaki (Shōtai); Hasui Kawase,,flowers; birds; animals,6 x 4 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp8.jpg,/objects/small/jp8_sm.jpg,/objects/thumbs/jp8_th.jpg
jp9,jp9.jpg,Daurian redstart,Takahashi Hiroaki (Shōtai); Hasui Kawase,,flowers; water; birds,6 x 4 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp9.jpg,/objects/small/jp9_sm.jpg,/objects/thumbs/jp9_th.jpg
jp10,jp10.jpg,Two Egrets Wading under a Willow Tree,Watanabe Seitei (Shōtei),,birds; trees; animals; water,9.25 x 6.75 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp10.jpg,/objects/small/jp10_sm.jpg,/objects/thumbs/jp10_th.jpg
jp11,jp11.jpg,Azalea Blossoms in Red and White,Takahashi Hiroaki (Shōtai); Hasui Kawase,,flowers; plants,5 x 7.25 in.,Shain Library,35.65666612,139.9071412,image,image/jpeg,/objects/jp11.jpg,/objects/small/jp11_sm.jpg,/objects/thumbs/jp11_th.jpg
jp12,jp12.jpg,Rain at Terajima (Terashima),Takahashi Hiroaki (Shōtai); Hasui Kawase,1920,figures; water; architecture,14.25 x 6.25 in.,Shain Library,34.48360925,134.0714828,image,image/jpeg,/objects/jp12.jpg,/objects/small/jp12_sm.jpg,/objects/thumbs/jp12_th.jpg
